31.153.0.0,31.153.255.255,65536,23/02/11,Cyprus Telecommunications Authority
31.216.64.0,31.216.127.255,16384,09/05/11,EPIC LTD
31.220.48.0,31.220.63.255,4096,10/05/11,Hostinger International Limited
31.222.64.0,31.222.79.255,4096,13/05/11,Greysom Limited
37.149.0.0,37.149.255.255,65536,05/03/12,Cyprus Telecommunications Authority
46.21.48.0,46.21.63.255,4096,27/10/10,Primetel PLC
46.198.0.0,46.198.127.255,32768,21/12/10,Cyprus Telecommunications Authority
46.199.0.0,46.199.255.255,65536,21/12/10,Cyprus Telecommunications Authority
46.251.96.0,46.251.127.255,8192,03/02/11,Cablenet Communication Systems plc
62.12.64.0,62.12.95.255,8192,20/10/06,Primetel PLC
62.152.0.0,62.152.31.255,8192,21/04/08,Primetel PLC
62.228.0.0,62.228.255.255,65536,07/07/09,Cyprus Telecommunications Authority
64.59.208.0,64.59.223.255,4096,22/03/00,Cablenet Communication Systems plc
65.18.208.0,65.18.223.255,4096,11/04/02,Cablenet Communication Systems plc
66.205.64.0,66.205.95.255,8192,07/12/01,Cablenet Communication Systems plc
69.6.0.0,69.6.31.255,8192,21/11/02,Cablenet Communication Systems plc
69.94.112.0,69.94.127.255,4096,19/11/03,Cablenet Communication Systems plc
77.235.32.0,77.235.63.255,8192,16/01/07,EUCLID SERVICES LIMITED
78.158.128.0,78.158.159.255,8192,05/09/07,Primetel PLC
80.85.16.0,80.85.31.255,4096,25/04/05,Hellas Sat Consortium Ltd
80.244.16.0,80.244.31.255,4096,22/09/05,Cablenet Communication Systems plc
81.4.128.0,81.4.191.255,16384,24/04/02,Cyprus Telecommunications Authority
81.21.32.0,81.21.47.255,4096,13/02/02,Primetel PLC
82.102.32.0,82.102.63.255,8192,29/12/03,EPIC LTD
82.102.64.0,82.102.127.255,16384,02/01/04,Primetel PLC
82.114.32.0,82.114.63.255,8192,21/10/05,Logosnet Services Limited
82.116.192.0,82.116.223.255,8192,30/01/04,Cyprus Research and Academic Network (CYNET)
83.168.0.0,83.168.63.255,16384,29/03/04,Cyprus Telecommunications Authority
85.132.224.0,85.132.255.255,8192,07/12/04,Cablenet Communication Systems plc
87.228.128.0,87.228.255.255,32768,18/07/05,Cyprus Telecommunications Authority
91.184.192.0,91.184.223.255,8192,13/10/06,Cablenet Communication Systems plc
93.109.0.0,93.109.255.255,65536,24/04/08,Cyprus Telecommunications Authority
94.46.224.0,94.46.239.255,4096,03/06/08,EPIC LTD
109.105.224.0,109.105.255.255,8192,21/09/09,Primetel PLC
109.110.224.0,109.110.255.255,8192,23/11/09,Cablenet Communication Systems plc
128.0.208.0,128.0.223.255,4096,14/09/12,Cyprus Telecommunications Authority
128.0.224.0,128.0.255.255,8192,14/09/12,Cyprus Telecommunications Authority
139.138.192.0,139.138.223.255,8192,13/03/90,Cablenet Communication Systems plc
153.92.0.0,153.92.15.255,4096,23/09/91,
156.67.208.0,156.67.223.255,4096,27/03/92,
164.215.0.0,164.215.31.255,8192,24/11/11,Cablenet Communication Systems plc
176.92.208.0,176.92.223.255,4096,06/07/11,Cyprus Telecommunications Authority
176.92.224.0,176.92.255.255,8192,06/07/11,Cyprus Telecommunications Authority
176.103.128.0,176.103.159.255,8192,14/12/11,
176.227.224.0,176.227.239.255,4096,05/12/11,Cyprus University of Technology
194.30.128.0,194.30.159.255,8192,23/01/96,Logosnet Services Limited
194.42.0.0,194.42.31.255,8192,02/02/94,University of Cyprus
194.42.128.0,194.42.159.255,8192,11/12/96,Primetel PLC
194.154.128.0,194.154.159.255,8192,11/04/96,Primetel PLC
195.14.128.0,195.14.159.255,8192,22/10/96,Cyprus Telecommunications Authority
195.179.96.0,195.179.111.255,4096,04/07/97,Cablenet Communication Systems plc
212.31.96.0,212.31.127.255,8192,09/09/99,Cyprus Telecommunications Authority
212.50.96.0,212.50.127.255,8192,05/05/08,Cablenet Communication Systems plc
213.7.0.0,213.7.255.255,65536,24/05/06,Cyprus Telecommunications Authority
213.59.112.0,213.59.127.255,4096,24/02/00,LVNET LTD
213.133.80.0,213.133.95.255,4096,24/03/00,Cablenet Communication Systems plc
213.140.192.0,213.140.223.255,8192,08/07/10,Cablenet Communication Systems plc
213.148.0.0,213.148.15.255,4096,10/12/99,HAICOM LIMITED
213.148.16.0,213.148.31.255,4096,10/12/99,HAICOM LIMITED
213.149.160.0,213.149.191.255,8192,30/03/01,Cyprus Telecommunications Authority
213.169.128.0,213.169.159.255,8192,09/02/00,Logosnet Services Limited
213.207.128.0,213.207.191.255,16384,18/09/00,EPIC LTD
216.241.128.0,216.241.159.255,8192,29/09/99,Cablenet Communication Systems plc
217.16.224.0,217.16.239.255,4096,12/09/00,Primetel PLC
217.27.32.0,217.27.47.255,4096,17/10/00,Primetel PLC
217.27.48.0,217.27.63.255,4096,29/05/02,Primetel PLC
217.175.208.0,217.175.223.255,4096,08/09/04,Primetel PLC

