5.149.96.0,5.149.111.255,4096,16/07/12,Pure Line Co. For Telecommunications & Internet Ltd.
37.17.128.0,37.17.159.255,8192,19/12/11,TISHK NET Company for WIMAX technology and Internet Service Limited
37.77.64.0,37.77.79.255,4096,01/02/12,SAWAD LAND for Information Technology Ltd
62.201.192.0,62.201.255.255,16384,29/11/07,IQ Networks for Data and Internet Services Ltd
78.109.224.0,78.109.239.255,4096,25/07/07,Informatics and Telecommunications Public Company (ITPC)
81.90.16.0,81.90.31.255,4096,18/04/06,TigrisNet
82.199.208.0,82.199.223.255,4096,10/09/12,ASIACELL COMMUNICATIONS PJSC
91.106.32.0,91.106.63.255,8192,21/06/12,Hala Al Rafidain Company for Communications and Internet LTD.
93.91.192.0,93.91.207.255,4096,16/05/08,Allay Nawroz Telecom Company for Communication/Ltd.
95.159.64.0,95.159.127.255,16384,24/04/09,Seven Net Layers for General Trading & Information Technology LTD.
95.170.192.0,95.170.223.255,8192,06/02/09,Allay Nawroz Telecom Company for Communication/Ltd.
109.127.64.0,109.127.127.255,16384,07/12/09,Allay Nawroz Telecom Company for Communication/Ltd.
109.224.0.0,109.224.63.255,16384,09/03/10,Hulum Almustakbal Company for Communication Engineering and Services Ltd
109.230.112.0,109.230.127.255,4096,17/02/10,Al Lawn Al Akhdar International Company for Communications and Information Technology Ltd.
130.193.128.0,130.193.255.255,32768,26/10/11,Allay Nawroz Telecom Company for Communication/Ltd.
131.117.224.0,131.117.255.255,8192,16/03/12,Al-Sard Group Company for General Trading, Communications & Investment, Ltd.
151.236.160.0,151.236.191.255,8192,14/08/12,Al Atheer Telecommunication-Iraq Co. Ltd. Incorporated in Cayman Islands
176.241.80.0,176.241.95.255,4096,05/12/11,Hayat for Internet & communication LLC
178.17.48.0,178.17.63.255,4096,16/03/10,TigrisNet
188.72.48.0,188.72.63.255,4096,07/07/09,Tarik Al-thuraya Company For Communications Service Ltd.
202.164.192.0,202.164.207.255,4096,07/07/04,Al Lawn Al Akhdar International Company for Communications and Information Technology Ltd.
212.95.128.0,212.95.159.255,8192,27/04/09,ASIACELL COMMUNICATIONS PJSC
212.126.96.0,212.126.127.255,8192,25/05/10,AL-SARD FIBER Co. for Internet Fiber and Optical Cable Services /Ltd.
212.237.112.0,212.237.127.255,4096,25/09/98,Kurdistan Net Company for Computer and Internet Ltd.

